surrogate_key,product,uid,is_active,valid_from,valid_until
7104,security_ticker,BFAL,True,,
7105,security_ticker,BASHUF,True,,
7106,security_ticker,BASEUR,True,,
7107,security_ticker,BASFT,True,,
7108,security_ticker,BRC,True,,
7109,security_ticker,AHZ0,True,,
7110,security_ticker,APTEUR,True,,
7111,security_ticker,APTCAD,True,,
7112,security_ticker,APTGBP,True,,
7113,security_ticker,APT1USD,True,,
7114,security_ticker,B9S,True,,
7115,security_ticker,BSX1EUR,True,,
7116,security_ticker,BNCCUSD,True,,
7117,security_ticker,BNP,True,,
7118,security_ticker,BNPGBX,True,,
7119,security_ticker,BNPP,True,,
7120,security_ticker,BNPEGP,True,,
7121,security_ticker,BNPN,True,,
7122,security_ticker,BNPCHF,True,,
7123,security_ticker,1BNPM,True,,
7124,security_ticker,BNPRUB,True,,
7125,security_ticker,BNPD,True,,
7126,security_ticker,BNPBGN,True,,
7127,security_ticker,BNPH,True,,
7128,security_ticker,BNPQYUSD,True,,
7129,security_ticker,BNPQYEUR,True,,
7130,security_ticker,B8Y,True,,
7131,security_ticker,BOEAUD,True,,
7132,security_ticker,BOE2EUR,True,,
7133,security_ticker,BRST,True,,
7134,security_ticker,B6SA,True,,
7135,security_ticker,BTVCYUSD,True,,
7136,security_ticker,3KF,True,,
7137,security_ticker,XLY,True,,
7138,security_ticker,0YP7,True,,
7139,security_ticker,KWFEUR,True,,
7140,security_ticker,KWFCAD,True,,
7141,security_ticker,KWFGBP,True,,
7142,security_ticker,KWFUSD,True,,
7143,security_ticker,CCHW,True,,
7144,security_ticker,3LP,True,,
7145,security_ticker,CCHWCAD,True,,
7146,security_ticker,CCHWUSD,True,,
7147,security_ticker,GLDC,True,,
7148,security_ticker,756,True,,
7149,security_ticker,MRLGBP,True,,
7150,security_ticker,MRL1EUR,True,,
7151,security_ticker,MRLCAD,True,,
7152,security_ticker,MRL2USD,True,,
7153,security_ticker,CKG,True,,
7154,security_ticker,CKGEUR,True,,
7155,security_ticker,CKGGBP,True,,
7156,security_ticker,CKGCAD,True,,
7157,security_ticker,CKGUSD,True,,
7158,security_ticker,CIN0,True,,
7159,security_ticker,CIBEYUSD,True,,
7160,security_ticker,0ZB6,True,,
7161,security_ticker,ST7,True,,
7162,security_ticker,CIN,True,,
7163,security_ticker,CBKD,True,,
7164,security_ticker,CBKDGBX,True,,
7165,security_ticker,CBKDEUR,True,,
7166,security_ticker,CBKDL,True,,
7167,security_ticker,TIUM/U,True,,
7168,security_ticker,COSO,True,,
7169,security_ticker,CRE,True,,
7170,security_ticker,F12,True,,
7171,security_ticker,CRE1EUR,True,,
7172,security_ticker,CRE1CAD,True,,
7173,security_ticker,CL,True,,
7174,security_ticker,6CQ,True,,
7175,security_ticker,CL2EUR,True,,
7176,security_ticker,CL21USD,True,,
7177,security_ticker,CL2CAD,True,,
7178,security_ticker,0ZB,True,,
7179,security_ticker,CTS,True,,
7180,security_ticker,CTS2EUR,True,,
7181,security_ticker,CTS2USD,True,,
7182,security_ticker,CTS2CAD,True,,
7183,security_ticker,CTS2GBP,True,,
7184,security_ticker,CURA,True,,
7185,security_ticker,CURAEUR,True,,
7186,security_ticker,CURAUSD,True,,
7187,security_ticker,CURACAD,True,,
7188,security_ticker,6CW,True,,
7189,security_ticker,CWEB,True,,
7190,security_ticker,CWEBEUR,True,,
7191,security_ticker,CWEB1CAD,True,,
7192,security_ticker,CWEB1GBP,True,,
7193,security_ticker,CWEB1USD,True,,
7194,security_ticker,CXXI,True,,
7195,security_ticker,CXXI/EUR,True,,
7196,security_ticker,BSND,True,,
7197,security_ticker,DANOYEUR,True,,
7198,security_ticker,DANOYUSD,True,,
7199,security_ticker,LHAB,True,,
7200,security_ticker,DLAKYUSD,True,,
7201,security_ticker,DLAKYEUR,True,,
7202,security_ticker,1CU0,True,,
7203,security_ticker,DSV,True,,
7204,security_ticker,0A61,True,,
7205,security_ticker,DSV1EUR,True,,
7206,security_ticker,DSV1CAD,True,,
7207,security_ticker,DSV1USD,True,,
7208,security_ticker,DSV1GBX,True,,
7209,security_ticker,DTE,True,,
7210,security_ticker,DTEFRF,True,,
7211,security_ticker,DTEGBX,True,,
7212,security_ticker,DTEUSD,True,,
7213,security_ticker,DTED,True,,
7214,security_ticker,DTEN,True,,
7215,security_ticker,DTEGFN,True,,
7216,security_ticker,DTEEUR,True,,
7217,security_ticker,DTECZK,True,,
7218,security_ticker,DEUTSC,True,,
7219,security_ticker,DTEHUF,True,,
7220,security_ticker,DTERON,True,,
7221,security_ticker,DEUTTT,True,,
7222,security_ticker,DTEK,True,,
7223,security_ticker,DTERUB,True,,
7224,security_ticker,DTEA,True,,
7225,security_ticker,DTEGYUSD,True,,
7226,security_ticker,DTEGYEUR,True,,
7227,security_ticker,DTEGYGBP,True,,
7228,security_ticker,JMI,True,,
7229,security_ticker,DYL,True,,
