source,product,field,source_value,source_description,uid,uid_description,is_seed,valid_from,valid_until,is_active
EodHistoricalData,country,,Mexico,,MX,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Croatia,,HR,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Turkey,,TR,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Peru,,PE,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Taiwan,,TW,,True,2023-01-01 00:00:00,,True
EodHistoricalData,country,,Russia,,RU,,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,holiday_type,official,,0,,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,holiday_type,bank,,1,,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,holiday_type,other,,2,,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,is_virtual,BOND,,1,,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,is_virtual,CC,,1,,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,is_virtual,FOREX,,1,,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,is_virtual,MONEY,,1,,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,is_virtual,EUFUND,,1,,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,is_virtual,GBOND,,1,,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,is_virtual,EUBOND,,1,,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,is_virtual,MCX,,1,,True,2023-01-01 00:00:00,,True
EodHistoricalData,exchange,exchange_code,XETRA,,XETR,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,RE,,XBSE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,HB,,XBUD,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,AF,,XBUE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,BU,,XBUL,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,VR,,XBVC,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,EC,,XCAI,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,VS,,BVCA,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,MC,,XCAS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,KY,,XCAY,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,UM,,XCHI,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,GU,,XCIE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,UC,,XCIS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,CF,,XCNQ,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,SL,,XCOL,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,DC,,XCSE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,CY,,XCYS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,KH,,XCSX,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,DS,,XCX2,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,DK,,XCXD,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,TZ,,XDAR,mic,True,2023-01-01 00:00:00,,True
